Frage (natürlichsprachlich),SQL-Query,Komplexität,Enthaltene Operatoren,,Antwort,Richtige Lösung,Zeit,Richtige Antwort ?,Bei Fehler : Verwendete Query,Fehleranalyse
Wie viele neu bestätigte COVID-19-Fälle wurden am 15. März 2021 in Lazio gemeldet?,"SELECT new_total_confirmed_cases
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE region_name = 'Lazio' AND DATE(date) = '2021-03-15';",Easy,LOGICAL CONNECTOR,,Am 15. März 2021 wurden in der Region Lazio 1.536 neu bestätigte COVID-19-Fälle gemeldet.,1536,"8,38",JA,,
Wie viele Patienten befanden sich am 1. April 2021 auf der Intensivstation in Lombardia?,"SELECT hospitalized_patients_intensive_care
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE region_name = 'Lombardia' AND DATE(date) = '2021-04-01';",Easy,LOGICAL CONNECTOR,,Am 1. April 2021 befanden sich 860 Patienten auf der Intensivstation in Lombardia.,860,"8,97",JA,,
Wie viele Tests wurden in Campania bis zum 10. Februar 2021 insgesamt durchgeführt?,"SELECT tests_performed
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE region_name = 'Campania' AND DATE(date) = '2021-02-10';",Easy,LOGICAL CONNECTOR,,"Bis zum 10. Februar 2021 wurden in der Region Campania insgesamt 2,589,633 Tests durchgeführt.",2589633,"8,91",JA,,
Wie viele Personen befanden sich am 5. Mai 2021 in Veneto in häuslicher Isolation?,"SELECT home_confinement_cases
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE region_name = 'Veneto' AND DATE(date) = '2021-05-05';",Easy,LOGICAL CONNECTOR,,Am 5. Mai 2021 befanden sich 19.177 Personen in Veneto in häuslicher Isolation.,19177,"11,31",JA,,
Wie viele bestätigte Gesamtfälle gab es bis zum 1. März 2021 in Piemonte?,"SELECT total_confirmed_cases
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE region_name = 'Piemonte' AND DATE(date) = '2021-03-01';",Easy,LOGICAL CONNECTOR,,"Bis zum 1. März 2021 gab es in der Region Piemonte insgesamt 248,289 bestätigte COVID-19-Fälle.",248289,"9,39",JA,,
Wie viele neu aktive Fälle wurden am 12. April 2021 in Toscana gemeldet?,"SELECT new_current_confirmed_cases
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE region_name = 'Toscana' AND DATE(date) = '2021-04-12';",Easy,LOGICAL CONNECTOR,,"Am 12. April 2021 wurden in der Region Toscana 127 neu aktive COVID-19-Fälle gemeldet. Dies bedeutet, dass die Anzahl der aktiven Fälle an diesem Tag gesunken ist.",-127,"6,31",Nein,,- nicht übernommen
Wie viele hospitalisierte COVID-19-Patienten gab es am 20. Januar 2021 in Lazio insgesamt?,"SELECT total_hospitalized_patients
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE region_name = 'Lazio' AND DATE(date) = '2021-01-20';",Easy,LOGICAL CONNECTOR,,Am 20. Januar 2021 gab es in Lazio insgesamt 3.023 hospitalisierte COVID-19-Patienten.,3023,"8,09",JA,,
Wie viele Todesfälle wurden bis zum 30. März 2021 in Puglia registriert?,"SELECT deaths
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE region_name = 'Puglia' AND DATE(date) = '2021-03-30';",Easy,LOGICAL CONNECTOR,,"Bis zum 30. März 2021 wurden in der Region Puglia insgesamt 4,761 Todesfälle registriert.",4761,"7,65",JA,,
Wie viele aktive Fälle waren am 14. Februar 2021 in Sicilia gemeldet?,"SELECT total_current_confirmed_cases
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE region_name = 'Sicilia' AND DATE(date) = '2021-02-14';",Easy,LOGICAL CONNECTOR,,"Am 14. Februar 2021 waren in der Region Sicilia insgesamt 34,866 aktive COVID-19-Fälle gemeldet.",34866,"7,45",JA,,
Wie viele genesene COVID-19-Patienten wurden bis zum 18. März 2021 in Emilia-Romagna gemeldet?,"SELECT recovered
FROM `bigquery-public-data.covid19_italy.data_by_region`
WHERE region_name = 'Emilia-Romagna' AND DATE(date) = '2021-03-18';",Easy,LOGICAL CONNECTOR,,"Bis zum 18. März 2021 wurden in der Region Emilia-Romagna insgesamt 227,087 genesene COVID-19-Patienten gemeldet.",227087,"9,11",JA,,
